iter	Passed	Remaining
1410	310495	789771
1411	310724	789575
1412	310935	789332
1413	311150	789097
1414	311373	788886
1415	311596	788674
1416	311799	788411
1417	312046	788259
1418	312276	788062
1419	312521	787905
1420	312759	787732
1421	312987	787530
1422	313193	787275
1423	313402	787027
1424	313609	786774
1425	313824	786542
1426	314071	786389
1427	314287	786158
1428	314514	785956
1429	314756	785789
1430	314968	785549
1431	315221	785411
1432	315432	785170
1433	315644	784928
1434	315870	784724
1435	316124	784587
1436	316386	784470
1437	316658	784378
1438	316874	784149
1439	317095	783931
1440	317329	783745
1441	317562	783556
1442	317780	783330
1443	317997	783103
1444	318225	782900
1445	318448	782688
1446	318656	782436
1447	318881	782229
1448	319127	782070
1449	319370	781907
1450	319594	781696
1451	319849	781559
1452	320079	781363
1453	320306	781160
1454	320505	780889
1455	320728	780673
1456	320935	780421
1457	321155	780200
1458	321381	779994
1459	321605	779784
1460	321821	779553
1461	322049	779351
1462	322258	779103
1463	322480	778888
1464	322699	778662
1465	322910	778420
1466	323117	778169
1467	323333	777938
1468	323548	777705
1469	323777	777507
1470	323995	777281
1471	324224	777082
1472	324450	776874
1473	324661	776632
1474	324903	776464
1475	325112	776217
1476	325326	775980
1477	325538	775741
1478	325764	775535
1479	326012	775380
1480	326230	775155
1481	326440	774911
1482	326686	774751
1483	326913	774548
1484	327145	774353
1485	327380	774167
1486	327611	773973
1487	327826	773740
1488	328049	773527
1489	328262	773290
1490	328480	773063
1491	328689	772816
1492	328912	772602
1493	329125	772364
1494	329333	772117
1495	329551	771890
1496	329762	771648
1497	329962	771381
1498	330197	771195
1499	330400	770934
1500	330610	770690
1501	330861	770541
1502	331085	770329
1503	331302	770100
1504	331512	769858
1505	331719	769606
1506	331942	769392
1507	332165	769179
1508	332384	768954
1509	332605	768736
1510	332841	768553
1511	333061	768333
1512	333283	768115
1513	333499	767886
1514	333708	767639
1515	333920	767399
1516	334127	767149
1517	334362	766963
1518	334601	766785
1519	334805	766528
1520	335026	766310
1521	335240	766075
1522	335474	765885
1523	335707	765695
1524	335926	765472
1525	336136	765227
1526	336343	764977
1527	336547	764721
1528	336780	764528
1529	336987	764278
1530	337194	764029
1531	337395	763765
1532	337606	763523
1533	337819	763286
1534	338042	763074
1535	338259	762846
1536	338501	762675
1537	338748	762514
1538	338954	762261
1539	339190	762078
1540	339405	761845
1541	339631	761638
1542	339839	761389
1543	340044	761135
1544	340284	760960
1545	340505	760741
1546	340706	760478
1547	340918	760239
1548	341135	760011
1549	341338	759752
1550	341584	759589
1551	341803	759367
1552	342022	759143
1553	342227	758890
1554	342443	758660
1555	342665	758444
1556	342875	758202
1557	343083	757954
1558	343285	757694
1559	343498	757459
1560	343741	757288
1561	343975	757098
1562	344191	756867
1563	344407	756638
1564	344631	756428
1565	344843	756189
1566	345062	755965
1567	345281	755743
1568	345499	755519
1569	345724	755308
1570	345933	755064
1571	346168	754876
1572	346399	754680
1573	346633	754488
1574	346847	754256
1575	347068	754038
1576	347272	753781
1577	347500	753578
1578	347725	753368
1579	347948	753154
1580	348176	752950
1581	348397	752732
1582	348598	752471
1583	348831	752277
1584	349049	752053
1585	349271	751837
1586	349496	751627
1587	349711	751396
1588	349972	751262
1589	350177	751010
1590	350387	750766
1591	350626	750587
1592	350843	750360
1593	351059	750129
1594	351281	749913
1595	351490	749671
1596	351699	749426
1597	351934	749237
1598	352137	748980
1599	352363	748772
1600	352572	748527
1601	352784	748291
1602	353022	748107
1603	353234	747870
1604	353452	747645
1605	353695	747472
1606	353903	747227
1607	354111	746981
1608	354323	746743
1609	354547	746532
1610	354776	746329
1611	354982	746080
1612	355215	745885
1613	355424	745643
1614	355626	745385
1615	355845	745161
1616	356071	744952
1617	356292	744735
1618	356503	744496
1619	356739	744308
1620	356948	744065
1621	357176	743861
1622	357391	743630
1623	357619	743425
